代码,日期,股票名字,收盘价,涨幅%,成交额(万元),自由流通市值(万元),集合竞价成交额(万元),集合竞价涨幅%,首次涨停时间,最后涨停时间,连板数,涨停统计
688339.SH,20250918,亿华通-U,27.62,13.38,80937.48,440104.3993,20.6302,0.16420361247946325,,,,
688062.SH,20250918,迈威生物-U,54.75,13.21,246946.0,1117830.75,10555.1928,19.995864350703062,,,,
688081.SH,20250918,兴图新科,32.16,12.92,49703.87,163416.69518399998,502.642,-1.6853932584269704,,,,
300185.SZ,20250918,通裕重工,3.36,12.75,285701.12,1042678.88256,180.0516,0.0,,,,
688400.SH,20250918,凌云光,50.02,12.46,223051.72,1186470.138296,796.7745,1.1690647482014427,,,,
688012.SH,20250918,中微公司,253.18,11.43,971233.89,10816473.334248,1836.1175,0.17605633802817433,,,,
688325.SH,20250918,赛微微电,86.4,10.77,48598.08,335415.22848,59.4672,-1.0641025641025648,,,,
688519.SH,20250918,南亚新材,81.07,10.36,92631.14,739190.082466,102.5695,-0.5581268717669396,,,,
600157.SH,20250918,永泰能源,1.71,10.32,362647.32,3042170.6714729997,7574.2636,1.9354838709677358,9:35:38,14:9:32,1.0, 1/1
301389.SZ,20250918,隆扬电子,72.85,10.26,199916.44,597931.287395,994.959,-1.5740880883910902,,,,
600337.SH,20250918,美克家居,2.7,10.2,46300.96,208405.30851,798.8075,2.4489795918367196,9:36:36,14:46:57,2.0, 2/2
300602.SZ,20250918,飞荣达,35.69,10.19,333676.7,995595.4701179998,1124.2101,-0.0617474529175821,,,,
600400.SH,20250918,红豆股份,3.03,10.18,40567.28,258786.313629,169.6192,-1.0909090909090868,9:40:1,9:43:37,1.0, 1/1
600527.SH,20250918,江南高纤,2.6,10.17,81481.85,293202.20670000004,110.4265,-0.4237288135593098,10:19:28,14:46:31,1.0, 1/1
603618.SH,20250918,杭电股份,9.19,10.06,127105.89,298191.253104,8523.3066,7.065868263473063,13:22:58,13:22:58,3.0, 3/3
002059.SZ,20250918,云南旅游,6.68,10.05,76490.07,281685.013536,4737.1494,0.0,9:39:51,9:40:21,2.0, 2/2
600056.SH,20250918,中国医药,12.05,10.05,165892.72,851209.9225800001,92.2492,-0.18264840182647957,13:14:17,14:44:50,1.0, 1/1
603359.SH,20250918,东珠生态,10.42,10.03,95889.08,250732.15445600002,716.2759,-1.1615628299894487,11:28:48,14:38:30,1.0, 4/7
000559.SZ,20250918,万向钱潮,11.52,10.03,500430.59,1371276.475776,17534.6208,5.921680993314227,9:42:3,14:48:18,4.0, 4/4
603158.SH,20250918,腾龙股份,11.96,10.03,134529.19,358844.083364,225.6708,-0.09199632014719183,9:54:16,14:47:40,1.0, 1/1
